step,x_error,y_error
pre-pick,-0.00033421589529791795,-0.0004009861290210359
pick,-0.0004422304289875001,-3.121049620188887e-05
pre-place-rot,-0.019096174505879582,0.0003436907728385785
place-rot,-0.0025164707541602827,-0.0007395259109406749
place,-0.002568375379594978,-0.0005981431385408686
pre-pick,0.001169127949272153,-9.67103890461285e-05
pick,2.2880655733192867e-05,1.783103402919206e-05
pre-place-rot,-0.018868073156496912,0.00025858057169619864
place-rot,-0.0019599573459609942,5.215323338433886e-05
place,-0.0021365412165603725,0.0004533559088178707
