Label,X (m),Y (m),Z (m),qw,qx,qy,qz,identifier
A1'_1,0.0,-0.1875,0.005,1.0,0.0,0.0,0.0,PIN
A2'_1,0.0,-0.2475,0.005,1.0,0.0,0.0,0.0,PIN
A1'_2,-0.07175,-0.17323,0.005,0.98079,0.0,0.0,-0.19509,PIN
A2'_2,-0.09471,-0.22866,0.005,0.98079,0.0,0.0,-0.19509,PIN
A1'_3,-0.13258,-0.13258,0.005,0.92388,0.0,0.0,-0.38268,PIN
A2'_3,-0.17501,-0.17501,0.005,0.92388,0.0,0.0,-0.38268,PIN
A1'_4,-0.17323,-0.07175,0.005,0.83147,0.0,0.0,-0.55557,PIN
A2'_4,-0.22866,-0.09471,0.005,0.83147,0.0,0.0,-0.55557,PIN
A1'_5,-0.1875,-0.0,0.005,0.70711,0.0,0.0,-0.70711,PIN
A2'_5,-0.2475,-0.0,0.005,0.70711,0.0,0.0,-0.70711,PIN
A1'_6,-0.17323,0.07175,0.005,0.55557,0.0,0.0,-0.83147,PIN
A2'_6,-0.22866,0.09471,0.005,0.55557,0.0,0.0,-0.83147,PIN
A1'_7,-0.13258,0.13258,0.005,0.38268,0.0,0.0,-0.92388,PIN
A2'_7,-0.17501,0.17501,0.005,0.38268,0.0,0.0,-0.92388,PIN
A1'_8,-0.07175,0.17323,0.005,0.19509,0.0,0.0,-0.98079,PIN
A2'_8,-0.09471,0.22866,0.005,0.19509,0.0,0.0,-0.98079,PIN
A1'_9,-0.0,0.1875,0.005,0.0,0.0,0.0,-1.0,PIN
A2'_9,-0.0,0.2475,0.005,0.0,0.0,0.0,-1.0,PIN
A1'_10,0.07175,0.17323,0.005,-0.19509,0.0,0.0,-0.98079,PIN
A2'_10,0.09471,0.22866,0.005,-0.19509,0.0,0.0,-0.98079,PIN
A1'_11,0.13258,0.13258,0.005,-0.38268,0.0,0.0,-0.92388,PIN
A2'_11,0.17501,0.17501,0.005,-0.38268,0.0,0.0,-0.92388,PIN
A1'_12,0.17323,0.07175,0.005,-0.55557,0.0,0.0,-0.83147,PIN
A2'_12,0.22866,0.09471,0.005,-0.55557,0.0,0.0,-0.83147,PIN
A1'_13,0.1875,0.0,0.005,-0.70711,0.0,0.0,-0.70711,PIN
A2'_13,0.2475,0.0,0.005,-0.70711,0.0,0.0,-0.70711,PIN
A1'_14,0.17323,-0.07175,0.005,-0.83147,0.0,0.0,-0.55557,PIN
A2'_14,0.22866,-0.09471,0.005,-0.83147,0.0,0.0,-0.55557,PIN
A1'_15,0.13258,-0.13258,0.005,-0.92388,0.0,0.0,-0.38268,PIN
A2'_15,0.17501,-0.17501,0.005,-0.92388,0.0,0.0,-0.38268,PIN
A1'_16,0.07175,-0.17323,0.005,-0.98079,0.0,0.0,-0.19509,PIN
A2'_16,0.09471,-0.22866,0.005,-0.98079,0.0,0.0,-0.19509,PIN
B1'_1,-0.03073,-0.15447,0.005,0.99518,0.0,0.0,-0.09802,PIN
B2'_1,-0.04243,-0.21332,0.005,0.99518,0.0,0.0,-0.09802,PIN
B1'_2,-0.0875,-0.13095,0.005,0.95694,0.0,0.0,-0.29028,PIN
B2'_2,-0.12083,-0.18084,0.005,0.95694,0.0,0.0,-0.29028,PIN
B1'_3,-0.13096,-0.0875,0.005,0.88192,0.0,0.0,-0.4714,PIN
B2'_3,-0.18084,-0.12084,0.005,0.88192,0.0,0.0,-0.4714,PIN
B1'_4,-0.15447,-0.03072,0.005,0.77301,0.0,0.0,-0.63439,PIN
B2'_4,-0.21332,-0.04243,0.005,0.77301,0.0,0.0,-0.63439,PIN
B1'_5,-0.15447,0.03073,0.005,0.63439,0.0,0.0,-0.77301,PIN
B2'_5,-0.21332,0.04243,0.005,0.63439,0.0,0.0,-0.77301,PIN
B1'_6,-0.13095,0.0875,0.005,0.4714,0.0,0.0,-0.88192,PIN
B2'_6,-0.18084,0.12083,0.005,0.4714,0.0,0.0,-0.88192,PIN
B1'_7,-0.0875,0.13096,0.005,0.29028,0.0,0.0,-0.95694,PIN
B2'_7,-0.12084,0.18084,0.005,0.29028,0.0,0.0,-0.95694,PIN
B1'_8,-0.03072,0.15447,0.005,0.09802,0.0,0.0,-0.99518,PIN
B2'_8,-0.04243,0.21332,0.005,0.09802,0.0,0.0,-0.99518,PIN
B1'_9,0.03073,0.15447,0.005,-0.09802,0.0,0.0,-0.99518,PIN
B2'_9,0.04243,0.21332,0.005,-0.09802,0.0,0.0,-0.99518,PIN
B1'_10,0.0875,0.13095,0.005,-0.29028,0.0,0.0,-0.95694,PIN
