step,x_error,y_error
pre-pick,-6.0660795772049525e-06,-0.000636440865458554
pick,-3.610121500613461e-05,-0.00047793510171978415
pre-place-rot,0.0003358286704105984,0.0014706009847991197
place-rot,-0.0022650508483498255,-0.002630064856639913
place,-0.0010041337244300896,-0.0005830509159604202
pre-pick,0.001604688844857094,-0.0007796015650977928
pick,0.00024190729540046751,-4.2309586472194516e-05
pre-place-rot,0.0012630916055307306,0.0009133692278654459
place-rot,-0.0032718404204675755,-0.002826244651235127
place,-0.0014144793780187515,-0.0002696721228904464
pre-pick,0.0016643324858755526,-0.0011487852367457752
pick,0.0001022909513168635,-0.00033526564067354325
pre-place-rot,0.0010456052971945518,0.0007216650313080775
place-rot,-0.002701122739170947,-0.0013371949276902995
place,-0.0012255111811522168,0.00026903766926270056
pre-pick,0.0018696492409741028,-0.00046479061492352147
pick,-5.9368051577024517e-05,-0.0006167976682295018
pre-place-rot,0.001153598270680789,0.0012609842181637576
place-rot,-0.0034681831860655654,-6.75758074485111e-05
place,-0.007303612795481029,-0.0007300673379740663
